Date,Actual,TES_Predicted,SARIMA_Predicted,LightGBM_Predicted
2024-01-01,51809.0,51272.46469901719,35225.969697790126,23847.170921842557
2024-02-01,51809.0,44430.68663019527,17493.84228046099,23847.170921842557
2024-03-01,53881.0,51922.765422475844,11110.824909947753,23847.170921842557
2024-04-01,18570.0,31785.025072942055,19571.604135271027,23847.170921842557
2024-05-01,19314.0,25190.504611696288,18557.232147959083,23847.170921842557
2024-06-01,19314.0,21536.21082670737,19709.465907316597,23607.657536965395
