Date,Actual,TES_Predicted,SARIMA_Predicted,LightGBM_Predicted
2024-01-01,51809.0,51272.46469901719,35225.969697790126,54969.44674927272
2024-02-01,51809.0,44430.68663019527,17493.84228046099,54969.44674927272
2024-03-01,53881.0,51922.765422475844,11110.824909947753,51719.36197459383
2024-04-01,18570.0,31785.025072942055,19571.604135271027,51719.36197459383
2024-05-01,19314.0,25190.504611696288,18557.232147959083,34735.81084553465
2024-06-01,19314.0,21536.21082670737,19709.465907316597,26994.672005770615
